,Load[MWh]
511,189.11710431863494
512,196.86560546993692
513,203.73211385104256
514,208.86349233556427
515,211.6971009556228
516,210.19827604597424
517,208.28316966981984
518,205.33291766167147
519,202.78991733438255
520,201.37557898363278
521,200.97321726160038
522,201.32786459280055
523,202.20529574834543
524,203.27762313074254
525,204.48726873753458
526,206.0305163234779
527,208.01257564819016
528,210.35146148747387
529,212.4054558912728
530,213.24256338548017
531,212.2675811922917
532,208.87922468030058
533,203.70753266238603
534,197.68512077561678
535,191.80317112071447
536,186.77752718174168
537,182.81137983157078
538,179.85114259347455
539,177.68209546767235
540,176.39430051370937
541,175.8099935367468
542,175.5230442728467
543,175.59134757484557
544,177.22159944329977
545,177.98709228541804
546,179.86419706854767
547,183.66608776692695
548,189.5598915522839
549,197.04859558508747
550,205.43014063049137
551,213.93379469691095
552,221.88964932849078
553,228.79584223006958
554,234.33364919584545
555,238.2741567704325
556,240.22685138909426
557,239.94823979974925
558,237.18970694339816
559,231.6742799410171
560,223.59904127964873
561,213.76370988224267
562,203.58936944764469
563,194.28686036265123
564,186.83051921760233
565,180.78999103273185
566,175.4297298888851
567,169.92605199848782
568,163.64714830097165
569,156.68388410099672
570,149.28488597490795
571,141.47002235269906
572,133.62004873803957
573,125.6550483918213
574,117.7912686573111
575,109.985832645132
576,102.48208645495642
577,95.42453521538582
578,89.34816302909994
579,84.42489067303273
580,80.9721933154854
581,78.69199756883442
582,77.20536530034397
583,75.95068078459217
584,74.62169444184931
585,73.22912073748931
586,72.09340769594337
587,71.14524175293705
588,70.6052464590658
589,70.52834632865552
590,70.51202289484004
591,70.72683669134234
592,70.90559133121432
593,71.37715806239308
594,72.20696057334015
595,73.64967083352342
596,75.78013125133172
597,79.47708348488452
598,85.43821916665203
599,94.418344605967
600,106.86224834433241
601,121.40235230358715
602,136.35930862423015
603,149.95288806609622
604,161.99670151278434
605,172.21013920481795
606,181.10463429627373
607,189.24032025373052
608,196.98936875376992
609,203.85532978613813
610,208.9851524913678
611,211.81656576703338
612,210.31500113897567
613,208.39705985332745
614,205.44397591040655
615,202.8986909970827
616,201.48279686704092
617,201.07942968917538
618,201.43361891328004
619,202.31105006882495
620,203.38374631667557
621,204.59421294657392
622,206.1390163118093
623,208.12363389692527
624,210.46608642716714
625,212.52391822157168
626,213.36413132492035
627,212.39079712738726
628,209.00189029193717
629,203.82791368798763
630,197.8021165682656
631,191.91651098076306
632,186.8873985166383
633,182.9181396078834
634,179.95507043501465
635,177.7832835908034
636,176.49292442699388
637,175.90642805508116
638,175.61764933752025
639,175.68494420896465
640,177.31501461941343
641,178.08142367572285
642,179.960720828524
643,183.7665411338722
644,189.6659225218536
645,197.16166177076735
646,205.55134565392072
647,214.06386439011135
648,222.0289525569157
649,228.9441023446289
650,234.49013441507486
651,238.43768018049352
652,240.39567872741088
653,240.12026198884905
654,237.36237167232028
655,231.84466008390427
656,223.76420971064374
657,213.92156644803734
658,203.73918236677466
659,194.42908774221206
660,186.9666216458012
661,180.92106618176524
662,175.55623289112728
663,170.04780139593333
664,163.7634152868776
665,156.79402911026213
666,149.38844792571592
667,141.5666383290388
668,133.70962652354768
669,125.73749577013442
670,117.8666778447926
671,110.05429585814531
672,102.53747576741819
673,95.474352874666
674,89.39314379138426
675,84.46577821867115
676,81.01004962001753
677,78.72772099812299
678,77.23969656001752
679,75.98411070368164
680,74.6545502397086
681,73.26156602379545
682,72.12569234729393
683,71.17727950241147
684,70.63703730666401
685,70.55997356657676
686,70.5434032308851
687,70.7582170273874
688,70.93705198473717
689,71.40894890999131
690,72.23916193249153
691,73.68244333918352
692,75.81364148789896
