,osm_id,highway,length,geometry
11877,294665703,cycleway,247.369995157088,"SRID=3857;LINESTRING(911591.1 7011367.53,911596.54 7011383.21,911610.93 7011459.56,911627.11 7011543.15,911625.02 7011576.96,911619.13 7011589.4,911613.77 7011600.05,911609.08 7011606.99)"
18874,29257678,cycleway,94.5386063998329,"SRID=3857;LINESTRING(913728.27 7017043.81,913820.07 7017021.22)"
7735,29084990,cycleway,47.345115757575,"SRID=3857;LINESTRING(911299.47 7007758.82,911294.25 7007773.72,911291.37 7007783.19,911291.31 7007790.48,911291.81 7007804.84)"
17752,27733756,cycleway,54.0343683446964,"SRID=3857;LINESTRING(918093.37 7014294.83,918093.87 7014290.22,918098.06 7014255.5,918099.25 7014248.63,918094.02 7014243.32)"
4351,22701465,cycleway,95.4464978454915,"SRID=3857;LINESTRING(914097.01 7005271.09,914115.43 7005259.41,914118.06 7005256.4,914119.62 7005252.84,914121.98 7005229.28,914123.31 7005222.7,914124.67 7005218.76,914128.82 7005212.85,914147.7 7005198.08)"
17738,22660817,cycleway,38.6212169670913,"SRID=3857;LINESTRING(917853.33 7014448.03,917816.53 7014459.75)"
13623,281022285,cycleway,7.34325540959169,"SRID=3857;LINESTRING(913876.62 7014258.43,913881.97 7014253.39999999)"
13622,72490928,cycleway,331.055695410796,"SRID=3857;LINESTRING(913610.89 7014128.37,913646.33 7014171.99,913688.83 7014198.86,913714.7 7014202.7,913736.51 7014206.68,913753.35 7014218.56,913764.25 7014238.38,913779.39 7014259.94,913803.89 7014273.06,913829.66 7014279.01,913845.54 7014276.82,913864.71 7014268.03,913873.45 7014261.42,913876.62 7014258.43)"
5018,91850275,cycleway,71.8239437811618,"SRID=3857;LINESTRING(915673.3 7001306.78,915643.72 7001372.23)"
7361,23898146,cycleway,78.2437052058671,"SRID=3857;LINESTRING(918745.09 7006744.93,918739.15 7006738.58,918689.08 7006690.31)"
6401,43292978,cycleway,338.206224062178,"SRID=3857;LINESTRING(914981.5 7006377.06,914981.39 7006400.75,914973.2 7006418.63,914948.63 7006435.76,914921.81 7006446.18,914893.51 7006445.44,914857.76 7006436.5,914816.79 7006436.5,914785.51 7006450.65,914776.72 7006459.17,914761.68 7006473.75,914738.58 7006498.33,914711.52 7006508.02)"
17718,34591342,cycleway,140.457610899739,"SRID=3857;LINESTRING(917535.48 7014347.29,917573.66 7014277.87,917583.41 7014254.35,917594.59 7014232.38,917601.01 7014230,917605.06 7014231.36)"
7543,22569698,cycleway,719.323285676721,"SRID=3857;LINESTRING(910027.7 7008889.37,910065.94 7008872.99,910117.89 7008848.73,910150.2 7008833.98,910157.04 7008828.84,910165.81 7008824.61,910187.9 7008801.43,910197.36 7008789.61,910193.2 7008750.9,910181.55 7008691.02,910172.37 7008641.52,910168.63 7008627.29,910163.6 7008602.69,910157.11 7008588.16,910151.03 7008580.84,910143.7 7008574.59,910134.06 7008570.3,910123.34 7008567.26,910112.27 7008566.91,910006.09 7008582.22,909976.28 7008585.61,909965.4 7008586.26,909954.53 7008580.1,909946.38 7008479.62)"
13708,309562916,cycleway,11.7122329247615,"SRID=3857;LINESTRING(914259.06 7014527.29,914261.66 7014538.71)"
787,306985368,cycleway,25.5275713695623,"SRID=3857;LINESTRING(908610.78 7008539.96,908635.15 7008532.36)"
